linear,b,d,n_samples,alpha,accuracy,trueneg,falseneg,truepos,falsepos,model_count
True,0,0,1000,0.1,0.9509157509157509,2156,264,3036,4
True,0,0,1000,0.001,0.9857142857142858,2082,0,3300,78
True,0,0,1000,0.005,0.9950549450549451,2133,0,3300,27
True,0,0,1000,0.01,0.9974358974358974,2148,2,3298,12
True,0,0,1000,0.05,0.9897435897435898,2158,54,3246,2
True,0,0,1000,0.1,0.9721611721611721,2160,152,3148,0
True,0,0,1000,0.001,0.9771062271062271,2051,16,3284,109
True,0,0,1000,0.005,0.9844322344322345,2117,42,3258,43
True,0,0,1000,0.01,0.984981684981685,2134,56,3244,26
True,0,0,1000,0.05,0.9637362637362638,2155,193,3107,5
True,0,0,1000,0.1,0.9424908424908425,2157,311,2989,3
True,0,0,1000,0.001,0.9908424908424909,2110,0,3300,50
True,0,0,1000,0.005,0.9963369963369964,2144,4,3296,16
True,0,0,1000,0.01,0.9967032967032967,2157,15,3285,3
True,0,0,1000,0.05,0.9833333333333333,2160,91,3209,0
True,0,0,1000,0.1,0.9633699633699634,2160,200,3100,0
True,0,0,1000,0.001,0.9705128205128205,1999,0,3300,161
True,0,0,1000,0.005,0.9857142857142858,2086,4,3296,74
True,0,0,1000,0.01,0.9886446886446887,2113,15,3285,47
True,0,0,1000,0.05,0.9807692307692307,2157,102,3198,3
True,0,0,1000,0.1,0.965018315018315,2158,189,3111,2
